Серьезность,Категория,ID проблемы,Описание проблемы,Страница/Функция,Подробности,Влияние,Рекомендация,Статус
"КРИТИЧЕСКАЯ","Безопасность","ADM-SEC-001","Пароли upstream пулов хранятся в открытом виде","Admin - Group Pool Configs","Пароли для подключения к EMCD пулам: '123' (дважды) и 'x'. Логины тоже видны: andersen1.testth, andersen1.whatsminer, mark80.worker.","Критическое — любой админ может увидеть и использовать пароли для перенаправления хешрейта или кражи средств.","Немедленно удалить пароли из UI. Использовать хранилище секретов (HashiCorp Vault, AWS Secrets Manager). Пароли никогда не должны отображаться.","New"
"КРИТИЧЕСКАЯ","Безопасность","ADM-SEC-002","Простые пароли для upstream pool connections","Admin - Pool Configs","Пароли '123' и 'x' — тривиальные и легко подбираются. Дают прямой доступ к EMCD аккаунтам.","Высокое — компрометация EMCD аккаунтов = потеря всего хешрейта и доходов.","Сгенерировать сложные уникальные пароли. Включить 2FA на EMCD аккаунтах. Ротация паролей.","New"
"ВЫСОКАЯ","Конфигурация","ADM-001","T-Hash работает как прокси для EMCD — нет независимой инфраструктуры","Admin - Pool Configs","Все 8 конфигов ведут на gate.emcd.io / gate.emcd.network / stratum+tcp://gate.emcd. Нет собственных нод пула.","Высокое — полная зависимость от EMCD. Если EMCD упал — T-Hash не работает.","Развернуть собственные stratum-ноды. Диверсифицировать upstream (несколько пулов).","New"
"ВЫСОКАЯ","Безопасность","ADM-SEC-003","Имена конфигов содержат чувствительную информацию","Admin - Pool Configs","Конфиг 'emcd Dima test' содержит имя человека (Dima). Конфиг 'test f.f;.f' — подозрительное имя, возможно попытка инъекции.","Среднее — утечка персональных данных и потенциальная инъекция.","Удалить персональные имена из конфигов. Проверить 'test f.f;.f' на уязвимости (SQLi, path traversal).","New"
"ВЫСОКАЯ","Конфигурация","ADM-002","Нет приоритета fallback при отказе пула","Admin - Group Pool Configs","3 конфига с приоритетами 1,2,3. Нет автоматического переключения при падении gate.emcd.network.","Среднее — если основной пул упал, майнеры останавливаются.","Настроить автоматический failover между конфигами. Добавить health-check upstream пулов.","New"
"СРЕДНЯЯ","UI/UX","ADM-UI-001","Server time показывает время без таймзоны","Admin - Calculate Payments","'Server time: 4/24/2026 10:59:31 PM' — непонятно в каком часовом поясе. Важно для глобального пула.","Низкое — путаница с временем выплат.","Добавить явное указание таймзоны (UTC+3 или аналогично).","New"
"СРЕДНЯЯ","Функциональность","ADM-FUN-001","Add Payment History без валидации","Admin - Add Payment History","Поле ввода транзакции без видимой валидации формата. Нет описания ожидаемого формата (TXID, сумма, etc.).","Среднее — возможность добавить некорректную транзакцию.","Добавить валидацию формата TXID. Добавить пример ожидаемого формата в placeholder.","New"
"СРЕДНЯЯ","Целостность данных","ADM-DAT-001","Таблица Users показывает чужие email","Admin - Edit Users","Видны email пользователей: rfk3.prc.he..., rfkhead1119..., testefront..., reg@test1.c... и т.д. — частично маскированы но читаемы.","Среднее — утечка email пользователей.","Маскировать email полностью (***@***.com) или хешировать. Ограничить доступ к Users таблице.","New"
"СРЕДНЯЯ","UI/UX","ADM-UI-002","Equipment Group 'Default' имеет нереалистичный хешрейт","Admin - Edit Yesterday's hashrate","'Normal yesterday's hashrate' для Default: 9383758437583475 (9 квадриллионов). Нереалистичное значение.","Низкое — некорректные данные в таблице.","Исправить или удалить тестовые данные. Внедрить валидацию диапазона хешрейта.","New"
"НИЗКАЯ","UI/UX","ADM-UI-003","Dropdown 'Default' в Group Pool Configs без функции","Admin - Group Pool Configs","Dropdown 'Default' единственный вариант. Нет других групп. Нет кнопки создания новой группы.","Низкое — неясно зачем dropdown если выбор только один.","Добавить возможность создания новых групп или убрать dropdown если он не нужен.","New"
"НИЗКАЯ","UI/UX","ADM-UI-004","Кнопка 'Add group' в табе Yesterday's hashrate не имеет feedback","Admin - Edit Yesterday's hashrate","Кнопка 'Add group' зеленая но непонятно что добавляется (группа воркеров? пула?).","Низкое — неинформативная кнопка.","Добавить tooltip или диалог с подтверждением создания группы.","New"
"НИЗКАЯ","UI/UX","ADM-UI-005","Нет подтверждения перед 'Delete' в Group Pool Configs","Admin - Group Pool Configs","Кнопка Delete рядом с каждым конфигом. Нет подтверждения — можно случайно удалить production config.","Среднее — случайное удаление конфига остановит майнинг.","Добавить модальное окно подтверждения: 'Удалить конфиг [Name]? Это остановит майнинг для [N] воркеров.'","New"
